ordinal,mangled_name
346,"?compute_auto_align@OMediaCanvasElement@@MAEXXZ"
347,"?compute_global_bsphere@OMedia3DShape@@MAEXXZ"
348,"?compute_hxform@OMediaElement@@UAEXAAVOMediaRenderHTransform@@0@Z"
349,"?compute_hxform_hierarchy@OMediaElement@@UAEXAAVOMediaRenderHTransform@@@Z"
350,"?compute_knob_rect@OMediaScroller@@MAEXAAVOMediaRect@@0@Z"
351,"?compute_knob_rect@OMediaSlider@@MAEXAAVOMediaRect@@0@Z"
352,"?compute_model_matrix@OMediaElement@@UAEXAAVOMediaRenderHTransform@@AAVOMediaMatrix_4x4@@1@Z"
353,"?compute_model_matrix@OMediaElement@@UAEXAAVOMediaRenderHTransform@@AAVOMediaMatrix_4x4@@@Z"
354,"?compute_normals@OMedia3DShape@@UAEXM_N@Z"
355,"?compute_normals@OMedia3DShape@@UAEX_N@Z"
356,"?compute_polygon_normals@OMedia3DShape@@UAEX_N@Z"
357,"?container_link@OMediaElement@@MAEXPAVOMediaElementContainer@@@Z"
358,"?container_link_element@OMediaElement@@MAEXPAV1@@Z"
359,"?container_link_element@OMediaElementContainer@@MAEXPAVOMediaElement@@@Z"
360,"?container_link_element@OMediaWorld@@MAEXPAVOMediaElement@@@Z"
361,"?container_unlink@OMediaElement@@MAEXPAVOMediaElementContainer@@@Z"
362,"?conv_flags@OMedia3DShapeConverter@@1GA"
363,"?convert@OMedia3DShapeConverter@@UAEXXZ"
364,"?convert@OMediaASEConverter@@UAEXXZ"
365,"?convert@OMediaCanvasConverter@@UAEXXZ"
366,"?convert@OMediaDXFConverter@@UAEXXZ"
367,"?convert@OMediaGIFConverter@@UAEXXZ"
368,"?convert@OMediaOMTConverter@@UAEXXZ"
369,"?convert@OMediaPNGConverter@@UAEXXZ"
370,"?convert@OMediaXSIConverter@@UAEXXZ"
371,"?copy@OMediaMemTools@@SAXPBXPAXJ@Z"
372,"?crc@OMediaCRC@@SAKPAEH@Z"
373,"?crc_table@OMediaCRC@@1PAKA"
374,"?crc_table_computed@OMediaCRC@@1_NA"
375,"?create@OMediaCanvas@@UAEXJJPAV1@@Z"
376,"?create_canvas@OMediaOMTConverter@@UAEXFFFJPADK@Z"
377,"?create_chunk@OMediaFormattedStream@@MAEPAVOMediaFSChunk@@PAVOMediaFSChunkTypeNode@@J@Z"
378,"?create_chunktype@OMediaFormattedStream@@MAEPAVOMediaFSChunkTypeNode@@K@Z"
379,"?create_effect@OMediaDXFFEffectType@@UAEPAVOMediaFFEffect@@XZ"
380,"?create_effect@OMediaFFEffectType@@UAEPAVOMediaFFEffect@@XZ"
381,"?create_frame@OMedia3DMorphAnimDef@@UAEPAVOMediaAnimFrame@@J@Z"
382,"?create_frame@OMedia3DShapeAnimDef@@UAEPAVOMediaAnimFrame@@J@Z"
383,"?create_frame@OMediaAnimDef@@UAEPAVOMediaAnimFrame@@J@Z"
384,"?create_frame@OMediaCanvasAnimDef@@UAEPAVOMediaAnimFrame@@J@Z"
385,"?create_free_block@OMediaFormattedStream@@MAEXKK@Z"
386,"?create_input_engine@OMediaEngineFactory@@UAEPAVOMediaInputEngine@@W4omt_EngineID@@PAVOMediaWindow@@@Z"
387,"?create_offscreen_buffer@OMediaDXVideoEngine@@UAEPAVOMediaOffscreenBuffer@@JJW4omt_OffscreenBufferPixelFormat@@@Z"
388,"?create_offscreen_buffer@OMediaVideoEngine@@UAEPAVOMediaOffscreenBuffer@@JJW4omt_OffscreenBufferPixelFormat@@@Z"
389,"?create_offscreen_buffer@OMediaWinVideoEngine@@UAEPAVOMediaOffscreenBuffer@@JJW4omt_OffscreenBufferPixelFormat@@@Z"
390,"?create_proportional_tab@OMediaCanvasFont@@UAEXXZ"
391,"?create_sound@OMediaDXSound@@UAEXXZ"
392,"?create_sound_channel@OMediaDXSoundEngine@@MAEPAVOMediaSoundChannel@@XZ"
393,"?create_sound_channel@OMediaSoundEngine@@MAEPAVOMediaSoundChannel@@XZ"
394,"?create_sound_channel@OMediaWinSoundEngine@@MAEPAVOMediaSoundChannel@@XZ"
